latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
36.85348,28.63674,335.15,0.55,0.68,2022-06-08,1006,1,VIIRS,n,2.0NRT,294.03,10.31,D
36.8552,28.64259,347.04,0.55,0.68,2022-06-08,1006,1,VIIRS,n,2.0NRT,295,11.32,D
36.857,28.64356,336.83,0.55,0.68,2022-06-08,1006,1,VIIRS,n,2.0NRT,294.72,8.05,D
36.85531,28.6377,354.1,0.55,0.68,2022-06-08,1006,1,VIIRS,n,2.0NRT,295.3,8.05,D
36.85913,28.63764,367,0.33,0.56,2022-06-08,1147,1,VIIRS,h,2.0NRT,297.7,11.66,D
36.83363,28.10825,355.25,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,297.89,8.15,N
36.83795,28.11442,338.36,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,296.25,16.4,N
36.83843,28.10816,344.9,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,296.09,16.4,N
36.83897,28.10122,322.31,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,294.27,11.49,N
36.84482,28.08751,312.74,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,292.86,2.61,N
36.84227,28.12074,333.76,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,296.82,8.9,N
36.84274,28.11474,346.65,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,297.53,16.4,N
36.84323,28.10829,353.79,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,300.37,16.4,N
36.84376,28.10138,351.66,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,297.36,11.49,N
36.84431,28.09423,346.74,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,295.49,11.49,N
36.84751,28.1151,312.56,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,297.97,6.18,N
36.84802,28.10848,318.09,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,299.03,6.18,N
36.84907,28.09479,314.63,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,295.05,4.55,N
36.84655,28.1275,333.63,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,298.74,22.31,N
36.84703,28.12133,345.21,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,303.68,22.31,N
36.84855,28.10165,329.45,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,297.55,4.55,N
36.8513,28.1281,308.82,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,293.47,22.31,N
36.85486,28.08211,310.82,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,294.13,2.9,N
36.85179,28.12189,348.48,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,299.26,22.31,N
36.85229,28.11544,348.65,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,298.95,6.18,N
36.8528,28.1088,344.89,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,299.04,6.18,N
36.85333,28.10195,339.36,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,295.48,4.55,N
36.85962,28.08282,305.1,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,294.88,21.71,N
36.86063,28.06975,341.72,0.57,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,295.59,13.04,N
36.86438,28.0836,307.94,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,295.23,21.71,N
36.86331,28.09731,322.99,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,299.92,36.4,N
36.86384,28.0905,354.73,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,303.24,21.71,N
36.86963,28.07789,311.86,0.57,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,296.57,4.02,N
36.87017,28.07102,312.43,0.57,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,295.11,4.02,N
36.86803,28.09846,338.53,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,296.87,15.35,N
36.86857,28.09155,347.62,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,304.91,9.32,N
36.86912,28.08446,321.07,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,297,9.32,N
36.8712,28.05786,352.76,0.57,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,301.53,27.63,N
36.87387,28.08533,313.01,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,293.32,9.32,N
36.87332,28.0924,336.63,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,297.18,9.32,N
36.87439,28.07871,322.5,0.57,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,295.91,4.02,N
36.87491,28.07202,340.63,0.57,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,296.36,4.02,N
36.82882,28.10826,326.89,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,292.45,8.15,N
36.83315,28.11443,319.86,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,294.66,8.15,N
36.83414,28.10151,319.19,0.56,0.52,2022-06-21,2322,1,VIIRS,n,2.0NRT,293.54,4.14,N
36.86342,28.09329,309.48,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.41,3.29,N
36.87315,28.06181,310.81,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.49,1.76,N
36.87512,28.05543,304.03,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.56,1.76,N
36.8701,28.0949,310.16,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.24,2.31,N
36.87178,28.08945,307.57,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.71,2.77,N
36.85103,28.11011,330.74,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,293.07,4.61,N
36.83204,28.107,302.88,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.93,2.71,N
36.83378,28.1013,330.5,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.88,2.71,N
36.84137,28.09996,313.05,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.49,3.18,N
36.84486,28.08847,311.17,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.93,2.25,N
36.83557,28.11901,321.53,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,293.19,16.18,N
36.83779,28.1117,367,0.65,0.73,2022-06-22,0102,1,VIIRS,h,2.0NRT,296.86,16.52,N
36.83968,28.1055,329.31,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.36,16.52,N
36.84306,28.09441,324.71,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.22,3.18,N
36.84143,28.12337,305.99,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.57,16.18,N
36.84375,28.11573,315.6,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.84,16.52,N
36.8475,28.10338,307.79,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.79,3.18,N
36.84929,28.09749,301.53,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.47,3.18,N
36.85118,28.09129,304.22,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.73,2.25,N
36.85505,28.07853,302.11,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.35,0.96,N
36.84571,28.10924,334.49,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,294.14,16.52,N
36.86734,28.06162,306.05,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.73,2.61,N
36.84772,28.12629,328.28,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,293.46,8.85,N
36.84986,28.11922,352.34,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,294.32,11.75,N
36.85183,28.11275,335.32,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,293.05,11.75,N
36.85366,28.10671,322.01,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.64,5.92,N
36.86929,28.05517,320.73,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.22,2.47,N
36.86418,28.09566,309.85,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.24,3.01,N
36.87172,28.07079,307.96,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.38,2.61,N
36.87565,28.05779,301.41,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.33,2.47,N
36.83134,28.10405,306.33,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.95,2.52,N
36.83295,28.09885,316.85,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.83,3.02,N
36.84227,28.09199,315.02,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.93,2.41,N
36.83496,28.11553,349.72,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,294.86,17.36,N
36.83704,28.10883,367,0.65,0.73,2022-06-22,0102,1,VIIRS,h,2.0NRT,294.66,17.36,N
36.83885,28.10303,331.08,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.41,9.03,N
36.84071,28.12018,309.65,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.06,17.36,N
36.84668,28.10093,316.72,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.67,9.03,N
36.84851,28.09505,316.04,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.61,2.41,N
36.85046,28.08876,306.32,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,289.98,2.41,N
36.84301,28.1128,321.7,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,292.41,17.36,N
36.84491,28.10666,335.08,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,293.34,9.03,N
36.85284,28.10426,313.93,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.61,4.61,N
36.86686,28.05898,309.99,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.85,1.76,N
36.86879,28.05272,305.02,0.64,0.72,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.15,1.76,N
36.84693,28.12333,337.91,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,293.9,5.69,N
36.84908,28.1164,351.2,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,293.78,5.69,N
36.85318,28.1264,301.04,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.96,5.69,N
36.85532,28.11946,310.61,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,291.06,5.69,N
36.85732,28.11302,301.22,0.65,0.73,2022-06-22,0102,1,VIIRS,n,2.0NRT,290.14,4.61,N
36.85868,28.10742,356.15,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,299.53,280.39,D
36.83196,28.11697,346.17,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,300.52,5.18,D
36.8369,28.12108,352.54,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,311.46,31.22,D
36.83575,28.11546,345.58,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,303.71,31.22,D
36.84076,28.11993,346.26,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,304.84,31.22,D
36.83957,28.1141,348.28,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,310.99,31.22,D
36.83833,28.1081,354.61,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,312.77,23.88,D
36.83706,28.10191,338.16,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,298.58,23.88,D
36.84212,28.10658,346.53,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,302.15,14.06,D
36.84081,28.10021,341.04,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,299.41,14.06,D
36.85099,28.10991,337.48,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,298.83,4.3,D
36.85482,28.10861,335.76,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,296.46,4.3,D
36.85352,28.10223,331.61,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,296.76,8.31,D
36.85995,28.11371,347.54,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,303.76,280.39,D
36.85739,28.10112,334.7,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,300.98,54.5,D
36.86127,28.10006,367,0.56,0.43,2022-06-22,1043,1,VIIRS,h,2.0NRT,328.58,54.5,D
36.86513,28.119,339.25,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,306.23,82.96,D
36.86382,28.1126,367,0.56,0.43,2022-06-22,1043,1,VIIRS,l,2.0NRT,342.35,280.39,D
36.86255,28.10632,367,0.56,0.43,2022-06-22,1043,1,VIIRS,l,2.0NRT,348.09,280.39,D
36.869,28.11792,342.87,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,307.05,148.54,D
36.86771,28.11156,367,0.56,0.43,2022-06-22,1043,1,VIIRS,l,2.0NRT,372.05,312.15,D
36.86643,28.1053,367,0.56,0.43,2022-06-22,1043,1,VIIRS,l,2.0NRT,358.78,312.15,D
36.86516,28.09904,367,0.56,0.43,2022-06-22,1043,1,VIIRS,l,2.0NRT,326.23,70.85,D
36.87159,28.11054,367,0.56,0.43,2022-06-22,1043,1,VIIRS,h,2.0NRT,331.13,312.15,D
36.87031,28.10423,367,0.56,0.43,2022-06-22,1043,1,VIIRS,h,2.0NRT,336.51,312.15,D
36.86906,28.09807,355.13,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,318.8,70.85,D
36.87419,28.10319,347.33,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,306.65,35.55,D
36.87289,28.09683,335.83,0.56,0.43,2022-06-22,1043,1,VIIRS,n,2.0NRT,305.5,18.11,D
37.00138,28.63817,334.36,0.53,0.42,2022-06-22,1043,1,VIIRS,n,2.0NRT,307.2,3.05,D
36.8733,28.15793,306.27,0.52,0.67,2022-06-22,2303,1,VIIRS,n,2.0NRT,282.66,13.58,N
36.87391,28.14107,311.88,0.52,0.67,2022-06-22,2303,1,VIIRS,n,2.0NRT,290.8,17.26,N
36.8735,28.15252,336,0.52,0.67,2022-06-22,2303,1,VIIRS,n,2.0NRT,289.17,13.58,N
36.87371,28.14669,367,0.52,0.67,2022-06-22,2303,1,VIIRS,h,2.0NRT,294.93,17.26,N
36.87965,28.1535,367,0.52,0.67,2022-06-22,2303,1,VIIRS,h,2.0NRT,295.48,13.58,N
36.82557,28.13041,309.11,0.52,0.67,2022-06-22,2303,1,VIIRS,n,2.0NRT,289.78,2.19,N
36.82594,28.12113,303.32,0.52,0.67,2022-06-22,2303,1,VIIRS,n,2.0NRT,289.59,1.59,N
36.83158,28.13494,313.97,0.52,0.67,2022-06-22,2303,1,VIIRS,n,2.0NRT,288.87,1.79,N
